year,category,performer,song,place_contest,pts_orch_fin,pts_tele_fin,perc_tele_supfin,youtube_url_studio,youtube_url_live,start
2015,Big Artists,Lara Fabian,Voce,20,,,,https://www.youtube.com/watch?v=UWJoEe8GKPo,https://www.youtube.com/watch?v=0AmpsDbSf9E,00:00:55


2016,Big Artists,Stadio,Un giorno mi dirai,1,,,,https://www.youtube.com/watch?v=wDAYFVr_LRE,https://www.youtube.com/watch?v=DLhNglwhnDs,00:00:51
2016,Big Artists,Francesca Michielin,Nessun grado di separazione,2,,,,https://www.youtube.com/watch?v=NXE-aTIIG30,,00:00:56
2016,Big Artists,Giovanni Caccamo & Deborah Iurato,Via da qui,3,,,,https://www.youtube.com/watch?v=kPjjMXIojIg,,00:00:53
2016,Big Artists,Enrico Ruggeri,Il primo amore non si scorda mai,4,,,,https://www.youtube.com/watch?v=E8424R4v1FQ,,00:01:11
2016,Big Artists,Lorenzo Fragola,Infinite volte,5,,,,https://www.youtube.com/watch?v=xEFcRgsicik,,00:00:48
2016,Big Artists,Patty Pravo,Cieli immensi,6,,,,https://www.youtube.com/watch?v=u5hhyR473eE,https://www.youtube.com/watch?v=nL3IXOQkCZI,00:00:52
2016,Big Artists,Clementino,Quando sono lontano,7,,,,https://www.youtube.com/watch?v=xMh4G2ECWdE,,00:00:51
2016,Big Artists,Noemi,La borsa di una donna,8,,,,https://www.youtube.com/watch?v=rnbHKMGDzX8,,00:00:58
2016,Big Artists,Rocco Hunt,Wake Up,9,,,,https://www.youtube.com/watch?v=9JN1SKjSwFM,,00:00:53
2016,Big Artists,Arisa,Guardando il cielo,10,,,,https://www.youtube.com/watch?v=L0tg9FDVyNk,https://www.youtube.com/watch?v=Y3aHkioGpxI,00:01:28
2016,Big Artists,Annalisa,Il diluvio universale,11,,,,https://www.youtube.com/watch?v=JxJvlEzNmAU,,00:01:05
2016,Big Artists,Elio e le Storie Tese,Vincere l'odio,12,,,,https://www.youtube.com/watch?v=o_sBn34djMw,https://www.youtube.com/watch?v=b2CIUi3kGx0,00:02:30
2016,Big Artists,Valerio Scanu,Finalmente piove,13,,,,https://www.youtube.com/watch?v=Qizq4Qg-DBM,https://www.youtube.com/watch?v=whueOPdq8VM,00:00:52
2016,Big Artists,Alessio Bernabei,Noi siamo infinito,14,,,,https://www.youtube.com/watch?v=ueZ3ioonBtc,,00:01:25
2016,Big Artists,Dolcenera,Ora o mai più (le cose cambiano),15,,,,https://www.youtube.com/watch?v=szJzfZCGY9c,,00:00:44
2016,Big Artists,Irene Fornaciari,Blu,16,,,,https://www.youtube.com/watch?v=Wz5uwHGl3Ww,https://www.youtube.com/watch?v=IvWdtwWj_gM,00:01:23
2016,Big Artists,Dear Jack,Mezzo respiro,17,,,,https://www.youtube.com/watch?v=Z69NDG7qXKQ,https://www.youtube.com/watch?v=pMJO9ebkhNU,00:01:04
2016,Big Artists,Bluvertigo,Semplicemente,18,,,,https://www.youtube.com/watch?v=WwW80MeB8S0,https://www.youtube.com/watch?v=ZwaJrROk9Ag,00:01:08
2016,Big Artists,Zero Assoluto,Di me e di te,19,,,,https://www.youtube.com/watch?v=8RWIGok4Lk8,,00:00:36
2016,Big Artists,Neffa,Sogni e nostalgia,20,,,,https://www.youtube.com/watch?v=XEgf19Dt40A,https://www.youtube.com/watch?v=gcw8xGpvY8s,00:00:52


2017,Big Artists,Francesco Gabbani,Occidentali's Karma,1,,,,https://www.youtube.com/watch?v=-OnRxfhbHB4,https://www.youtube.com/watch?v=6S1g7aXOog4,00:00:45
2017,Big Artists,Fiorella Mannoia,Che sia benedetta,2,,,,https://www.youtube.com/watch?v=u6fbLKY6IfI,https://www.youtube.com/watch?v=PLOmoNa-qZw,00:00:46
